Contract_Address,Token_Name,Token_Symbol,Decimals,Total_Transfers,Total_Volume_Native,Total_Volume_USD,Current_Price_USD,Unique_Addresses,First_Transfer,Last_Transfer,Error
0x0E903C3BBf5ed7179B7D1Da391A3cEEa303134E0,ciphrd,ciphrd,18,9999,4256060.857556,855042.63,0.2009,813,2025-07-02 18:00:57,2025-07-03 09:21:39,
0xF9bc1E5BF79bBF09C940AFc063Ed563B0F4a3c95,EBOY,EBOY,18,4633,4965066.856158,263694.7,0.05311,371,2025-07-03 21:24:33,2025-07-08 10:08:17,
0x43BbFF35b91e721C2359e9f837688cF83B6dBBF1,Token_0x43BbFF,TKN_0x43Bb,18,3889,2910415.449889,37777.19,0.01298,500,2025-07-03 18:24:55,2025-07-08 11:03:11,
0x499E5Db42DB458797A8afBaA3bB32B2C46A147fa,Token_0x499E5D,TKN_0x499E,18,3329,3347791.850113,38231.78,0.01142,431,2025-07-03 18:18:53,2025-07-08 06:04:17,
