Contract_Address,Token_Symbol,Period,Net_Volume_USD,Net_Volume_Native,Unique_Transactions,Total_Transfers,Current_Price_USD,Unique_Addresses,Analysis_Timestamp
0xEA3B0233d176D03d1484d75f46fE0fA611F4B07c,GALO,24h,0.00,0.000000,0,0,0.00000000,0,2025-07-10 09:36:54
0xEA3B0233d176D03d1484d75f46fE0fA611F4B07c,GALO,7d,57811.49,1607661.093013,889,2204,0.03596000,189,2025-07-10 09:36:54
0xEA3B0233d176D03d1484d75f46fE0fA611F4B07c,GALO,30d,57811.49,1607661.093013,889,2204,0.03596000,189,2025-07-10 09:36:54
