Contract_Address,Token_Name,Token_Symbol,Decimals,Total_Transfers,Total_Volume_Native,Total_Volume_USD,Current_Price_USD,Unique_Addresses,First_Transfer,Last_Transfer,Analysis_Status
0x0e903c3bbf5ed7179b7d1da391a3ceea303134e0,Token_0x0E903C,TKN_0x0E90,18,9999,4256060.857556,763962.92,0.17950000,813,2025-07-02 18:00:57,2025-07-03 09:21:39,Success
0xf9bc1e5bf79bbf09c940afc063ed563b0f4a3c95,Token_0xF9bc1E,TKN_0xF9bc,18,5037,5404809.998084,115284.60,0.02133000,382,2025-07-03 21:24:33,2025-07-10 05:01:27,Success
0x43bbff35b91e721c2359e9f837688cf83b6dbbf1,Token_0x43BbFF,TKN_0x43Bb,18,4279,3089875.705301,37665.58,0.01219000,505,2025-07-03 18:24:55,2025-07-10 09:30:13,Success
0x499e5db42db458797a8afbaa3bb32b2c46a147fa,Token_0x499E5D,TKN_0x499E,18,3441,3432706.552908,38137.37,0.01111000,434,2025-07-03 18:18:53,2025-07-09 23:11:07,Success
0xea3b0233d176d03d1484d75f46fe0fa611f4b07c,Token_0xEA3B02,TKN_0xEA3B,18,2204,3180734.725378,114379.22,0.03596000,189,2025-07-09 18:02:53,2025-07-10 09:26:31,Success
