address,balance
0x0fedA837ab01fB12329524645d57D88e1A8EF307,31249000.0
0x2FE3722CE8c8542C116bE711C47aC8a13E7B60de,21079688.862268444
0x3E142eF909F7Bc78742F376Ac9DA80842aCb6392,15500000.0
0xB718DAa1c74517C5A4eD923A1D3dDC5Ca0Ad0291,9291232.764930839
0xB93687BFA7DDeaACc089bd5dEae923b6F4b941a8,9192844.039233759
0x2A2A4103fb94133918C609987B0fC00501c7B746,8811090.2255639
0x29AAC0d8A7dA68EB549f8E9649F18775870e5082,7639374.759524341
0x3Df3fa92258660B4988bba76505E9560d54CD555,7172628.564797823
0x32AA1b76D2d9131fD79384A2eBbD40dF089764Bf,7034654.426430147
0x77b9988cbD074649f42ec8Bb7d8f7b48a4B21A21,7000000.0
0xdBA83d05c80e5e1773AfF783f64069338d48E901,5028001.6723460825
0x94e12b2416ddcF15ec180f41354c4a0e241A7676,4420895.55583062
0x8721a8A368dbb5e2678B0d72DC6394eecA3C4125,4129039.924421928
0xA69C338540c846ccC09FD003F647B43BdAc621Aa,4120754.2968459288
0x8D4A225f7ccFF8FD2Ad6017738e1cFdC526ae309,3980643.492348429
0xe4C43e2EE0C8CEDb202214136bd10C6Ab50549A2,3954709.0862600794
0x588F6ccb39f3d474C5B3736483589e2BBC8E0847,3952460.9542749887
0x24d65E931F36c94479ea0Ba621d31959e89AD60C,3900224.8348986236
0x9A192b4c482e57c99F9B70c6b5f3F5D2480D0978,3887702.4923484307
0x48874AFB762a34af37580C78c104a961C99f025c,3708975.037875862
0x3c84B3b05307d21c4579c13b134EFDd4755D2E01,3528382.0326283486
0x3A45468c2B85A969Ab3999f9b286da9bab226709,3333300.635825689
0xEf8ff0D07D81CB40f982E46fAfd7d99c692c3B26,3102292.833758387
0xb99F88DfcD7F9a30574Db6007343cb23699eC83D,3074505.638700298
0xB6a30Fd5ed09DadD85FF5d6c0c704273053F6bC3,2922716.506419863
0x179057E2276b976aDa694A0a76eF3B6Cf9782B45,2900000.0
0x4A79F6974CDe3160408b1a38fE028476a9d2121b,2895367.8657591366
0xE4FA469c988F2993A9Bef0d17F771F25480fAa1B,2729257.215679664
0x5055C335D508132aDF4a56aB6309eF071543eD7d,2713958.202997736
0x62FF6F10747AC78F3E478a4d95679D7D6101EfDA,2528806.625353648
0x46Aa43d3FA6d97573f7523653F68ebAD455beB1f,2381237.077482755
0x6d27C6a1D0E0d036e09327E6B0C5cE540727bA2e,2343122.1423810376
0xB7d51Cd80130d453eaA9172b7Ebe179008604f6c,2324999.9999969136
0xa73C4a33EeCE64e31ce81262edEa93603A6dc51c,2248604.6159901554
0xa5a95FB2125e78bFeb68F44E9820D7Fe05A717E2,2222399.3460906385
0x5B598c9A928d29F90356B5B5D8450fc47213a5A7,2139045.933010691
0xe6C4F3F937b961e621d021D9d9e7dEaDeac9c934,2094072.8108197385
0x7c54c03814330F09cebB3Ab937cAF5Fb2cd5f55c,2090201.8247024755
0x2B3b6729DdBD2a30D8FCfC183665DE8964e7998E,2079205.2187353773
0x7D53DC0A068EEd9Fa30e052EB86dd16198dA8873,2072514.2908435073
0xcb3DEe186De415519edB6004b564d933680E8904,2018063.0043874984
0x37C2A979A32AC33153D963D94C5313d56C89436c,2000000.0
0x546e9c8aF24910df88bA0AED95b4e9060D75409D,1999508.4047999568
0xA9BF47D7D1009B9c675cc9d6f40feEeC4b27835E,1957999.9999999998
0x290B2631faa6A136fA65EC317BF51f481516951F,1928128.405473547
0xc02f017879B9933593fbAE5333E09724432cA3B2,1832156.5448179874
0x5ce980d9EB0feECB7d3A8F60b9c4959Ef271Def5,1750274.63651473
0x95CE18968ae8513DAd1bFc1360cb6567923FB6D4,1735213.0549476875
0xAf0f8a40161cB177902Cd9b1F6ca9f38Fc8C5639,1731549.2480300472
0x2C430B55e0107500AC3DDACB9E9C4bbf62b28fc7,1725939.8275465027
0xf8D4600d9e79907630e4158BCA00c6fD849e6502,1648632.616115624
0xd0F862eC73932CD46B59371E9A01BF07eDD7c4D8,1608681.7325719632
0x8268b0CbfF5f4f32895b630B81b9C1a3B601C411,1606441.1751233793
0x1297Ad486549A430d59D9d5f99eD7C216b6e77DD,1576126.4139080518
0xf58EA5476A751f4771553Fd7aB30D0385Cd41171,1518542.3945397749
0x0e9f8DEA2c6a7C28653993c8248F9d45B82b28b4,1510954.0847669505
0x74fCdEC3Af54be0028737ecA77FEeF3f134A7aC0,1500000.0
0x091caFe937Cc446fCC45a87FCbB8d55590B862Dd,1491900.5250895051
0x1D1f2911b7BEe85711dB6531202c5C9C4Ec94a4f,1483041.3778049254
0x6b95c9A92d4B8edb5F1AA96f945c37f518C0EdE5,1460502.087053974
